metric,arm1,arm2,cohens_d,sig
ssim,arm_a_l2,arm_b_nll,1.143,***
ssim,arm_a_l2,arm_c_nll_ssim,2.383,***
ssim,arm_a_l2,arm_d_nll_ssim_ffl,1.162,***
ssim,arm_a_l2,arm_e_ppvae,3.041,***
ssim,arm_a_l2,arm_f_kl_cyc,1.716,***
ssim,arm_a_l2,arm_g_kl_fb,2.282,***
ssim,arm_a_l2,arm_h_kl_cyc_fb,1.889,***
ssim,arm_a_l2,arm_i_l1,0.133,n.s.
ssim,arm_a_l2,arm_j_l1_ssim_ffl,0.155,n.s.
ssim,arm_a_l2,arm_k_nll_l1,1.39,***
ssim,arm_a_l2,arm_l_nll_edge_ffl,1.489,***
ssim,arm_a_l2,arm_m_full_det,3.008,***
ssim,arm_a_l2,arm_n_perc,2.354,***
ssim,arm_a_l2,arm_o_prelu,4.081,***
ssim,arm_a_l2,arm_p_best,3.063,***
ssim,arm_a_l2,ffdnet,2.15,***
ssim,arm_a_l2,ircnn,2.227,***
ssim,arm_a_l2,drunet,1.582,***
ssim,arm_a_l2,swinir,4.274,***
ssim,arm_a_l2,dncnn_baseline,3.231,***
ssim,arm_b_nll,arm_c_nll_ssim,1.276,***
ssim,arm_b_nll,arm_d_nll_ssim_ffl,0.019,n.s.
ssim,arm_b_nll,arm_e_ppvae,1.967,***
ssim,arm_b_nll,arm_f_kl_cyc,0.628,***
ssim,arm_b_nll,arm_g_kl_fb,1.16,***
ssim,arm_b_nll,arm_h_kl_cyc_fb,0.781,***
ssim,arm_b_nll,arm_i_l1,-1.017,***
ssim,arm_b_nll,arm_j_l1_ssim_ffl,-1.005,***
ssim,arm_b_nll,arm_k_nll_l1,0.244,**
ssim,arm_b_nll,arm_l_nll_edge_ffl,0.343,***
ssim,arm_b_nll,arm_m_full_det,1.885,***
ssim,arm_b_nll,arm_n_perc,1.236,***
ssim,arm_b_nll,arm_o_prelu,3.444,***
ssim,arm_b_nll,arm_p_best,1.951,***
ssim,arm_b_nll,ffdnet,1.049,***
ssim,arm_b_nll,ircnn,1.104,***
ssim,arm_b_nll,drunet,1.117,***
ssim,arm_b_nll,swinir,3.117,***
ssim,arm_b_nll,dncnn_baseline,1.963,***
ssim,arm_c_nll_ssim,arm_d_nll_ssim_ffl,-1.257,***
ssim,arm_c_nll_ssim,arm_e_ppvae,0.707,***
ssim,arm_c_nll_ssim,arm_f_kl_cyc,-0.615,***
ssim,arm_c_nll_ssim,arm_g_kl_fb,-0.127,n.s.
ssim,arm_c_nll_ssim,arm_h_kl_cyc_fb,-0.484,***
ssim,arm_c_nll_ssim,arm_i_l1,-2.265,***
ssim,arm_c_nll_ssim,arm_j_l1_ssim_ffl,-2.261,***
ssim,arm_c_nll_ssim,arm_k_nll_l1,-1.041,***
ssim,arm_c_nll_ssim,arm_l_nll_edge_ffl,-0.946,***
ssim,arm_c_nll_ssim,arm_m_full_det,0.581,***
ssim,arm_c_nll_ssim,arm_n_perc,-0.049,n.s.
ssim,arm_c_nll_ssim,arm_o_prelu,2.641,***
ssim,arm_c_nll_ssim,arm_p_best,0.656,***
ssim,arm_c_nll_ssim,ffdnet,-0.216,*
ssim,arm_c_nll_ssim,ircnn,-0.182,n.s.
ssim,arm_c_nll_ssim,drunet,0.532,***
