epoch,loss,val_psnr
1,0.0461,30.237
2,0.0308,30.990
3,0.0287,31.092
4,0.0270,31.747
5,0.0260,32.205
6,0.0256,32.341
7,0.0251,32.469
8,0.0247,32.611
9,0.0244,32.543
10,0.0240,32.788
11,0.0239,32.813
12,0.0236,32.700
13,0.0235,32.871
14,0.0233,33.005
15,0.0231,33.017
16,0.0230,32.994
17,0.0230,33.155
18,0.0228,33.176
19,0.0227,33.191
20,0.0226,33.208
21,0.0225,33.240
22,0.0224,33.239
23,0.0223,33.324
24,0.0222,33.324
25,0.0223,33.338
26,0.0221,33.359
27,0.0220,33.321
28,0.0219,33.432
29,0.0219,33.396
30,0.0218,33.392
31,0.0218,33.445
32,0.0218,33.196
33,0.0216,33.484
34,0.0215,33.462
35,0.0215,33.496
36,0.0215,33.501
37,0.0215,33.529
38,0.0215,33.530
39,0.0214,33.546
40,0.0213,33.547
41,0.0213,33.572
42,0.0213,33.554
43,0.0212,33.447
44,0.0212,33.579
45,0.0212,33.578
46,0.0211,33.589
47,0.0211,33.611
48,0.0212,33.553
49,0.0210,33.580
50,0.0210,33.486
51,0.0209,33.488
52,0.0210,33.584
53,0.0208,33.582
54,0.0209,33.538
55,0.0210,33.523
56,0.0208,33.601
57,0.0208,33.624
58,0.0208,33.622
59,0.0206,33.583
60,0.0208,33.609
61,0.0206,33.624
62,0.0206,33.620
63,0.0206,33.600
64,0.0205,33.632
65,0.0206,33.618
66,0.0205,33.586
67,0.0205,33.608
68,0.0205,33.618
69,0.0205,33.622
70,0.0204,33.597
71,0.0204,33.586
72,0.0203,33.612
73,0.0204,33.615
74,0.0203,33.556
75,0.0202,33.581
76,0.0203,33.569
