arm,noise_level,psnr
ffdnet,low,34.3036
ffdnet,low,33.1278
ffdnet,low,33.955
ffdnet,low,34.5561
ffdnet,low,33.9689
ffdnet,low,34.8559
ffdnet,low,34.6706
ffdnet,low,34.6388
ffdnet,low,33.1353
ffdnet,low,33.221
ffdnet,low,34.071
ffdnet,low,33.8308
ffdnet,low,34.4731
ffdnet,low,35.4568
ffdnet,low,35.0399
ffdnet,low,33.6192
ffdnet,low,34.5777
ffdnet,low,34.0711
ffdnet,low,34.0275
ffdnet,low,34.6228
ffdnet,low,35.5803
ffdnet,low,34.3359
ffdnet,low,34.7423
ffdnet,low,33.428
ffdnet,low,33.8888
ffdnet,low,34.5844
ffdnet,low,32.9803
ffdnet,low,33.1835
ffdnet,low,34.7374
ffdnet,low,34.2903
ffdnet,low,33.5457
ffdnet,low,34.038
ffdnet,low,33.2609
ffdnet,low,33.0409
ffdnet,low,32.4659
ffdnet,low,34.2106
ffdnet,low,34.7969
ffdnet,low,35.3816
ffdnet,low,33.9065
ffdnet,low,32.2621
ffdnet,low,34.2152
ffdnet,low,34.4377
ffdnet,low,32.164
ffdnet,low,34.0495
ffdnet,low,34.1547
ffdnet,low,33.6153
ffdnet,low,35.8984
ffdnet,low,32.9171
ffdnet,low,33.234
ffdnet,low,33.6855
ffdnet,low,33.4039
ffdnet,low,34.6917
ffdnet,low,34.022
ffdnet,low,33.9191
ffdnet,low,34.3037
ffdnet,low,35.0566
ffdnet,low,35.5933
ffdnet,low,33.698
ffdnet,low,33.6633
ffdnet,low,34.2419
ffdnet,low,34.4914
ffdnet,low,34.7397
ffdnet,low,33.9553
ffdnet,low,33.7228
ffdnet,low,34.3895
ffdnet,low,32.6037
ffdnet,low,33.0668
ffdnet,low,32.4273
ffdnet,low,32.7096
ffdnet,low,33.7311
ffdnet,low,35.3801
ffdnet,low,35.5067
ffdnet,low,34.4899
ffdnet,low,35.1672
ffdnet,low,34.7766
ffdnet,low,33.3954
ffdnet,low,33.3585
ffdnet,low,33.632
ffdnet,low,34.9005
ffdnet,low,33.8244
ffdnet,low,35.3538
ffdnet,low,34.4531
ffdnet,low,32.8004
ffdnet,low,33.4879
ffdnet,low,33.7584
ffdnet,low,35.6155
ffdnet,low,34.1993
ffdnet,low,34.6128
ffdnet,low,33.135
ffdnet,low,34.1845
ffdnet,low,34.3247
ffdnet,low,33.3584
ffdnet,low,35.4297
ffdnet,low,33.6878
ffdnet,low,34.4048
ffdnet,low,33.4011
ffdnet,low,33.6192
ffdnet,low,32.9262
ffdnet,low,33.3164
ffdnet,low,34.422
ffdnet,low,34.3728
ffdnet,low,33.3067
ffdnet,low,34.3124
ffdnet,low,34.5994
ffdnet,low,33.4352
ffdnet,low,33.7878
ffdnet,low,34.3372
ffdnet,low,33.9521
ffdnet,low,32.9158
ffdnet,low,33.6472
ffdnet,low,34.2456
ffdnet,low,34.6672
ffdnet,low,32.4919
ffdnet,low,33.3584
ffdnet,low,33.7081
ffdnet,low,33.7453
ffdnet,low,33.0708
ffdnet,low,34.1035
ffdnet,low,33.9287
ffdnet,low,35.4235
ffdnet,low,33.9736
ffdnet,low,34.5216
ffdnet,low,34.8206
ffdnet,low,34.3983
ffdnet,low,34.2274
ffdnet,low,33.1657
ffdnet,low,34.7119
ffdnet,low,33.1754
ffdnet,low,33.2861
ffdnet,low,34.1419
ffdnet,low,33.8413
ffdnet,low,33.7265
ffdnet,low,33.2517
ffdnet,low,33.7814
ffdnet,low,34.9263
ffdnet,low,34.515
ffdnet,low,33.6388
ffdnet,low,33.5117
ffdnet,low,34.2983
ffdnet,low,32.9157
ffdnet,low,33.3221
ffdnet,low,34.4486
ffdnet,low,32.9682
ffdnet,low,34.8596
ffdnet,low,33.9061
ffdnet,low,33.0713
ffdnet,low,33.2648
ffdnet,low,33.3675
ffdnet,low,34.3927
ffdnet,low,33.6231
ffdnet,low,34.1534
ffdnet,low,33.3577
ffdnet,low,32.8336
ffdnet,low,33.8165
ffdnet,low,35.0432
ffdnet,low,33.3985
ffdnet,low,33.4721
ffdnet,low,34.4002
ffdnet,low,33.7359
ffdnet,low,34.7894
ffdnet,low,35.3151
ffdnet,low,34.5236
ffdnet,low,34.0957
ffdnet,low,34.6849
ffdnet,low,35.6379
ffdnet,low,35.4502
ffdnet,low,35.1989
