arm1,arm2,t,p_raw,p_bonf,cohens_d,sig
arm_a_l2,arm_i_l1,2.892,3.8893e-03,1.0000e+00,0.164,n.s.
arm_a_l2,arm_j_l1_ssim_ffl,4.965,7.8302e-07,2.1611e-04,0.281,***
arm_a_l2,arm_k_nll_l1,22.548,1.1515e-94,3.1782e-92,1.277,***
arm_a_l2,arm_b_nll,19.539,2.3102e-74,6.3762e-72,1.106,***
arm_a_l2,arm_c_nll_ssim,38.224,5.2076e-212,1.4373e-209,2.164,***
arm_a_l2,arm_d_nll_ssim_ffl,19.908,8.9776e-77,2.4778e-74,1.127,***
arm_a_l2,arm_l_nll_edge_ffl,25.008,3.9070e-112,1.0783e-109,1.416,***
arm_a_l2,arm_n_perc,37.035,6.0554e-203,1.6713e-200,2.097,***
arm_a_l2,arm_m_full_det,50.770,2.4014e-304,6.6278e-302,2.874,***
arm_a_l2,arm_e_ppvae,51.987,0.0000e+00,0.0000e+00,2.943,***
arm_a_l2,arm_f_kl_cyc,31.765,1.2819e-162,3.5380e-160,1.798,***
arm_a_l2,arm_g_kl_fb,35.917,2.0465e-194,5.6483e-192,2.033,***
arm_a_l2,arm_h_kl_cyc_fb,30.697,1.4424e-154,3.9811e-152,1.738,***
arm_a_l2,arm_p_best,51.216,2.0087e-307,5.5441e-305,2.900,***
arm_a_l2,arm_o_prelu,98.510,0.0000e+00,0.0000e+00,5.577,***
arm_a_l2,dncnn_baseline,31.892,5.2371e-163,1.4454e-160,1.806,***
arm_a_l2,ffdnet,34.322,7.1409e-182,1.9709e-179,1.943,***
arm_a_l2,ircnn,33.898,1.5677e-178,4.3269e-176,1.919,***
arm_a_l2,drunet,33.140,3.4542e-173,9.5336e-171,1.876,***
arm_a_l2,swinir,61.733,0.0000e+00,0.0000e+00,3.495,***
arm_a_l2,nafnet,13.257,1.2819e-37,3.5380e-35,0.751,***
arm_a_l2,scunet,7.649,4.0205e-14,1.1096e-11,0.433,***
arm_a_l2,sharpxr,17.126,3.3406e-59,9.2200e-57,0.970,***
arm_i_l1,arm_j_l1_ssim_ffl,2.102,3.5774e-02,1.0000e+00,0.119,n.s.
arm_i_l1,arm_k_nll_l1,19.802,4.3822e-76,1.2095e-73,1.121,***
arm_i_l1,arm_b_nll,16.769,4.5768e-57,1.2632e-54,0.949,***
arm_i_l1,arm_c_nll_ssim,35.614,4.0503e-192,1.1179e-189,2.016,***
arm_i_l1,arm_d_nll_ssim_ffl,17.138,2.7941e-59,7.7116e-57,0.970,***
arm_i_l1,arm_l_nll_edge_ffl,22.273,9.2099e-93,2.5419e-90,1.261,***
arm_i_l1,arm_n_perc,34.418,5.7818e-183,1.5958e-180,1.949,***
arm_i_l1,arm_m_full_det,48.226,2.1311e-286,5.8819e-284,2.730,***
arm_i_l1,arm_e_ppvae,49.443,6.2045e-295,1.7124e-292,2.799,***
arm_i_l1,arm_f_kl_cyc,29.101,1.8312e-142,5.0541e-140,1.647,***
arm_i_l1,arm_g_kl_fb,33.297,2.1497e-174,5.9332e-172,1.885,***
arm_i_l1,arm_h_kl_cyc_fb,28.069,9.6326e-135,2.6586e-132,1.589,***
arm_i_l1,arm_p_best,48.673,1.4429e-289,3.9824e-287,2.756,***
arm_i_l1,arm_o_prelu,96.406,0.0000e+00,0.0000e+00,5.458,***
arm_i_l1,dncnn_baseline,29.135,2.3228e-142,6.4109e-140,1.649,***
arm_i_l1,ffdnet,31.631,1.7858e-161,4.9289e-159,1.791,***
arm_i_l1,ircnn,31.191,4.6680e-158,1.2884e-155,1.766,***
arm_i_l1,drunet,30.571,1.5120e-153,4.1731e-151,1.731,***
arm_i_l1,swinir,59.227,0.0000e+00,0.0000e+00,3.353,***
arm_i_l1,nafnet,10.519,7.5214e-25,2.0759e-22,0.596,***
arm_i_l1,scunet,4.855,1.3568e-06,3.7449e-04,0.275,***
arm_i_l1,sharpxr,14.430,9.3182e-44,2.5718e-41,0.817,***
arm_j_l1_ssim_ffl,arm_k_nll_l1,17.598,4.4937e-62,1.2403e-59,0.996,***
arm_j_l1_ssim_ffl,arm_b_nll,14.581,1.4117e-44,3.8962e-42,0.825,***
arm_j_l1_ssim_ffl,arm_c_nll_ssim,33.339,1.1641e-174,3.2130e-172,1.887,***
arm_j_l1_ssim_ffl,arm_d_nll_ssim_ffl,14.945,1.4149e-46,3.9051e-44,0.846,***
arm_j_l1_ssim_ffl,arm_l_nll_edge_ffl,20.049,1.0705e-77,2.9546e-75,1.135,***
arm_j_l1_ssim_ffl,arm_n_perc,32.152,1.3271e-165,3.6628e-163,1.820,***
arm_j_l1_ssim_ffl,arm_m_full_det,45.839,8.8974e-269,2.4557e-266,2.595,***
arm_j_l1_ssim_ffl,arm_e_ppvae,47.035,2.7056e-277,7.4674e-275,2.663,***
arm_j_l1_ssim_ffl,arm_f_kl_cyc,26.857,1.0599e-125,2.9254e-123,1.521,***
arm_j_l1_ssim_ffl,arm_g_kl_fb,31.044,3.5659e-157,9.8419e-155,1.758,***
arm_j_l1_ssim_ffl,arm_h_kl_cyc_fb,25.875,1.6742e-118,4.6207e-116,1.465,***
arm_j_l1_ssim_ffl,arm_p_best,46.279,6.0389e-272,1.6667e-269,2.620,***
arm_j_l1_ssim_ffl,arm_o_prelu,93.745,0.0000e+00,0.0000e+00,5.307,***
arm_j_l1_ssim_ffl,dncnn_baseline,26.798,5.9670e-125,1.6469e-122,1.517,***
arm_j_l1_ssim_ffl,ffdnet,29.327,5.4219e-144,1.4965e-141,1.660,***
arm_j_l1_ssim_ffl,ircnn,28.876,1.5303e-140,4.2237e-138,1.635,***
arm_j_l1_ssim_ffl,drunet,28.404,3.2415e-137,8.9467e-135,1.608,***
arm_j_l1_ssim_ffl,swinir,56.694,0.0000e+00,0.0000e+00,3.210,***
arm_j_l1_ssim_ffl,nafnet,8.427,9.6580e-17,2.6656e-14,0.477,***
arm_j_l1_ssim_ffl,scunet,2.777,5.5704e-03,1.0000e+00,0.157,n.s.
arm_j_l1_ssim_ffl,sharpxr,12.331,4.8023e-33,1.3254e-30,0.698,***
arm_k_nll_l1,arm_b_nll,-3.038,2.4283e-03,6.7022e-01,-0.172,n.s.
