metric,arm1,arm2,cohens_d,sig
ssim,arm_a_l2,arm_i_l1,0.133,n.s.
ssim,arm_a_l2,arm_j_l1_ssim_ffl,0.155,n.s.
ssim,arm_a_l2,arm_k_nll_l1,1.390,***
ssim,arm_a_l2,arm_b_nll,1.143,***
ssim,arm_a_l2,arm_c_nll_ssim,2.383,***
ssim,arm_a_l2,arm_d_nll_ssim_ffl,1.162,***
ssim,arm_a_l2,arm_l_nll_edge_ffl,1.489,***
ssim,arm_a_l2,arm_n_perc,2.354,***
ssim,arm_a_l2,arm_m_full_det,3.008,***
ssim,arm_a_l2,arm_e_ppvae,3.041,***
ssim,arm_a_l2,arm_f_kl_cyc,1.716,***
ssim,arm_a_l2,arm_g_kl_fb,2.282,***
ssim,arm_a_l2,arm_h_kl_cyc_fb,1.889,***
ssim,arm_a_l2,arm_p_best,3.063,***
ssim,arm_a_l2,arm_o_prelu,4.081,***
ssim,arm_a_l2,dncnn_baseline,3.231,***
ssim,arm_a_l2,ffdnet,2.150,***
ssim,arm_a_l2,ircnn,2.227,***
ssim,arm_a_l2,drunet,1.582,***
ssim,arm_a_l2,swinir,4.274,***
ssim,arm_a_l2,nafnet,1.206,***
ssim,arm_a_l2,scunet,0.884,***
ssim,arm_a_l2,sharpxr,1.469,***
ssim,arm_i_l1,arm_j_l1_ssim_ffl,0.021,n.s.
ssim,arm_i_l1,arm_k_nll_l1,1.264,***
ssim,arm_i_l1,arm_b_nll,1.017,***
ssim,arm_i_l1,arm_c_nll_ssim,2.265,***
ssim,arm_i_l1,arm_d_nll_ssim_ffl,1.035,***
ssim,arm_i_l1,arm_l_nll_edge_ffl,1.364,***
ssim,arm_i_l1,arm_n_perc,2.235,***
ssim,arm_i_l1,arm_m_full_det,2.891,***
ssim,arm_i_l1,arm_e_ppvae,2.930,***
ssim,arm_i_l1,arm_f_kl_cyc,1.599,***
ssim,arm_i_l1,arm_g_kl_fb,2.162,***
ssim,arm_i_l1,arm_h_kl_cyc_fb,1.770,***
ssim,arm_i_l1,arm_p_best,2.947,***
ssim,arm_i_l1,arm_o_prelu,4.016,***
ssim,arm_i_l1,dncnn_baseline,3.100,***
ssim,arm_i_l1,ffdnet,2.033,***
ssim,arm_i_l1,ircnn,2.107,***
ssim,arm_i_l1,drunet,1.532,***
ssim,arm_i_l1,swinir,4.158,***
ssim,arm_i_l1,nafnet,1.089,***
ssim,arm_i_l1,scunet,0.763,***
ssim,arm_i_l1,sharpxr,1.354,***
ssim,arm_j_l1_ssim_ffl,arm_k_nll_l1,1.254,***
ssim,arm_j_l1_ssim_ffl,arm_b_nll,1.005,***
ssim,arm_j_l1_ssim_ffl,arm_c_nll_ssim,2.261,***
ssim,arm_j_l1_ssim_ffl,arm_d_nll_ssim_ffl,1.023,***
ssim,arm_j_l1_ssim_ffl,arm_l_nll_edge_ffl,1.354,***
ssim,arm_j_l1_ssim_ffl,arm_n_perc,2.231,***
ssim,arm_j_l1_ssim_ffl,arm_m_full_det,2.890,***
ssim,arm_j_l1_ssim_ffl,arm_e_ppvae,2.928,***
ssim,arm_j_l1_ssim_ffl,arm_f_kl_cyc,1.590,***
ssim,arm_j_l1_ssim_ffl,arm_g_kl_fb,2.157,***
ssim,arm_j_l1_ssim_ffl,arm_h_kl_cyc_fb,1.763,***
ssim,arm_j_l1_ssim_ffl,arm_p_best,2.947,***
ssim,arm_j_l1_ssim_ffl,arm_o_prelu,4.013,***
ssim,arm_j_l1_ssim_ffl,dncnn_baseline,3.102,***
ssim,arm_j_l1_ssim_ffl,ffdnet,2.027,***
ssim,arm_j_l1_ssim_ffl,ircnn,2.102,***
ssim,arm_j_l1_ssim_ffl,drunet,1.526,***
ssim,arm_j_l1_ssim_ffl,swinir,4.163,***
ssim,arm_j_l1_ssim_ffl,nafnet,1.077,***
ssim,arm_j_l1_ssim_ffl,scunet,0.750,***
ssim,arm_j_l1_ssim_ffl,sharpxr,1.344,***
ssim,arm_k_nll_l1,arm_b_nll,-0.244,**
ssim,arm_k_nll_l1,arm_c_nll_ssim,1.041,***
ssim,arm_k_nll_l1,arm_d_nll_ssim_ffl,-0.225,*
ssim,arm_k_nll_l1,arm_l_nll_edge_ffl,0.098,n.s.
ssim,arm_k_nll_l1,arm_n_perc,0.999,***
ssim,arm_k_nll_l1,arm_m_full_det,1.648,***
ssim,arm_k_nll_l1,arm_e_ppvae,1.738,***
ssim,arm_k_nll_l1,arm_f_kl_cyc,0.396,***
ssim,arm_k_nll_l1,arm_g_kl_fb,0.922,***
ssim,arm_k_nll_l1,arm_h_kl_cyc_fb,0.545,***
ssim,arm_k_nll_l1,arm_p_best,1.716,***
ssim,arm_k_nll_l1,arm_o_prelu,3.304,***
ssim,arm_k_nll_l1,dncnn_baseline,1.699,***
ssim,arm_k_nll_l1,ffdnet,0.815,***
