model,class,psnr,ssim,lpips
A (L2),Normal,33.60656336800664,0.9103140830993652,0.1805659979581833
D (NLL+SSIM+FFL),Normal,32.587172037017716,0.886642336845398,0.22588391602039337
H (PP-VAE),Normal,31.870714748801845,0.867494523525238,0.2858409583568573
DnCNN,Normal,32.07699321075853,0.8702718615531921,0.259077250957489
SCUNet,Normal,33.859152474221034,0.9151806235313416,0.17046931385993958
A (L2),Normal,32.2947630664881,0.8747856616973877,0.21906450390815735
D (NLL+SSIM+FFL),Normal,31.284771390734267,0.8478058576583862,0.2660030126571655
H (PP-VAE),Normal,30.709668229482965,0.8301321864128113,0.31267249584198
DnCNN,Normal,30.82144506494278,0.8301079273223877,0.2871425449848175
SCUNet,Normal,32.42478396191847,0.8767942786216736,0.21459706127643585
A (L2),Normal,33.153230959629944,0.9048371315002441,0.19347618520259857
D (NLL+SSIM+FFL),Normal,32.153445341593574,0.8836838603019714,0.22334280610084534
H (PP-VAE),Normal,31.3202340390786,0.865753710269928,0.27336061000823975
DnCNN,Normal,31.535929674184327,0.8626227974891663,0.2569829225540161
SCUNet,Normal,33.30765699485782,0.9077168703079224,0.1861189305782318
A (L2),Normal,34.24791569980552,0.9314333200454712,0.16099996864795685
D (NLL+SSIM+FFL),Normal,32.85917307360502,0.9106016159057617,0.21370576322078705
H (PP-VAE),Normal,31.927424243345065,0.8915269374847412,0.2660254240036011
DnCNN,Normal,32.23462687512849,0.8899188041687012,0.25801336765289307
SCUNet,Normal,34.282205685764445,0.9334749579429626,0.15499836206436157
A (L2),Normal,32.88226377963494,0.8657981157302856,0.24477654695510864
D (NLL+SSIM+FFL),Normal,32.01448582657466,0.8425787687301636,0.29512202739715576
H (PP-VAE),Normal,31.55344226608795,0.8286330699920654,0.33393266797065735
DnCNN,Normal,31.59046324296856,0.8278010487556458,0.3226517140865326
SCUNet,Normal,32.979607194533436,0.8712825775146484,0.22818955779075623
A (L2),Normal,34.50373322710299,0.9236679077148438,0.19140976667404175
D (NLL+SSIM+FFL),Normal,33.1883050943879,0.9019008874893188,0.23531007766723633
H (PP-VAE),Normal,32.450615940401754,0.8851399421691895,0.27277642488479614
DnCNN,Normal,32.56863083198936,0.8833372592926025,0.24775519967079163
SCUNet,Normal,34.60230644007143,0.9269343018531799,0.18617984652519226
A (L2),Normal,33.94362391099891,0.9069796800613403,0.2258567065000534
D (NLL+SSIM+FFL),Normal,32.67681680028457,0.8833259344100952,0.2574922740459442
H (PP-VAE),Normal,32.030373679393904,0.8704948425292969,0.269954115152359
DnCNN,Normal,32.04078779002634,0.8637878894805908,0.2561413645744324
SCUNet,Normal,34.206818770441494,0.9130608439445496,0.22009339928627014
A (L2),Normal,34.48772241579788,0.9272174835205078,0.19354969263076782
D (NLL+SSIM+FFL),Normal,33.16697278351647,0.9051637053489685,0.2616671323776245
H (PP-VAE),Normal,32.272486966796706,0.8875765800476074,0.30547070503234863
DnCNN,Normal,32.380253838266235,0.8828869462013245,0.2960922420024872
SCUNet,Normal,34.52876980209765,0.9277468323707581,0.18747390806674957
A (L2),Normal,32.71830914650907,0.9060859084129333,0.17614248394966125
D (NLL+SSIM+FFL),Normal,31.388301841976578,0.8764322996139526,0.23024621605873108
H (PP-VAE),Normal,30.460730416929795,0.8533433675765991,0.27513545751571655
DnCNN,Normal,30.69582022058762,0.8516899943351746,0.2674699127674103
SCUNet,Normal,32.86746000686066,0.9097771644592285,0.17174887657165527
A (L2),Normal,32.69563390001543,0.8892517685890198,0.2078384906053543
D (NLL+SSIM+FFL),Normal,31.532853814551082,0.8619883060455322,0.2618848383426666
H (PP-VAE),Normal,30.654888945588375,0.8417310118675232,0.3073842525482178
DnCNN,Normal,31.02874388545456,0.8430683612823486,0.2811526954174042
SCUNet,Normal,32.909959487905354,0.8942892551422119,0.19897902011871338
A (L2),Normal,33.63327152324653,0.919807493686676,0.1539326012134552
D (NLL+SSIM+FFL),Normal,32.30076421413798,0.8971137404441833,0.19760888814926147
H (PP-VAE),Normal,31.327587669408608,0.877028226852417,0.25012949109077454
DnCNN,Normal,31.60629873237873,0.8754068613052368,0.24292846024036407
SCUNet,Normal,33.72210447508778,0.9212749004364014,0.15168681740760803
A (L2),Normal,33.501573112403534,0.8960058689117432,0.21557721495628357
D (NLL+SSIM+FFL),Normal,32.12122548131207,0.8677014708518982,0.2635645866394043
H (PP-VAE),Normal,31.156017601817254,0.843923032283783,0.3107665181159973
DnCNN,Normal,31.415000419558915,0.8441465497016907,0.2930070757865906
SCUNet,Normal,33.65013901171374,0.8982024788856506,0.21721696853637695
A (L2),Normal,33.677489318665934,0.8970623016357422,0.2284989207983017
D (NLL+SSIM+FFL),Normal,32.6042448676708,0.8742995858192444,0.27041178941726685
H (PP-VAE),Normal,31.9374681228536,0.8542695045471191,0.298814982175827
DnCNN,Normal,31.950957072359753,0.8488879203796387,0.28118884563446045
SCUNet,Normal,33.78244303713235,0.8997382521629333,0.22454386949539185
A (L2),Normal,34.802123479947085,0.916348934173584,0.19468775391578674
D (NLL+SSIM+FFL),Normal,33.76380439407703,0.8983871340751648,0.24596986174583435
H (PP-VAE),Normal,33.2476622343538,0.8878871202468872,0.2852882146835327
DnCNN,Normal,33.11837406548842,0.8829646706581116,0.3117940127849579
SCUNet,Normal,34.8911218657035,0.9169303774833679,0.18886739015579224
A (L2),Normal,33.97642805593203,0.8768821358680725,0.16831746697425842
D (NLL+SSIM+FFL),Normal,33.533092263578254,0.8945106863975525,0.17598821222782135
H (PP-VAE),Normal,32.65368217715538,0.8810246586799622,0.2087499350309372
DnCNN,Normal,33.64504432216304,0.9149608612060547,0.22186227142810822
SCUNet,Normal,34.44490440196346,0.9219837188720703,0.13871139287948608
A (L2),Normal,32.914700393662706,0.8834918737411499,0.25226908922195435
D (NLL+SSIM+FFL),Normal,31.696853986237905,0.8582082390785217,0.29214298725128174
H (PP-VAE),Normal,31.10817456409137,0.8445603251457214,0.31243035197257996
DnCNN,Normal,31.123827327384518,0.8392499685287476,0.2948199510574341
SCUNet,Normal,33.015264907204326,0.8861404061317444,0.24868623912334442
A (L2),Normal,34.41297305511898,0.9187325239181519,0.21023991703987122
D (NLL+SSIM+FFL),Normal,33.11429391691449,0.8966384530067444,0.27745792269706726
H (PP-VAE),Normal,32.268892280605705,0.8798508048057556,0.3174322843551636
DnCNN,Normal,32.330320393777626,0.8731934428215027,0.31888899207115173
SCUNet,Normal,34.42398853097064,0.9183868765830994,0.2015519142150879
A (L2),Normal,33.845690632536204,0.9067620038986206,0.19781097769737244
D (NLL+SSIM+FFL),Normal,32.62032797891098,0.8803830742835999,0.24061894416809082
H (PP-VAE),Normal,31.71058066079803,0.8575185537338257,0.2878762185573578
DnCNN,Normal,31.893568878089795,0.8583659529685974,0.2544756531715393
SCUNet,Normal,33.938074350953556,0.9074113965034485,0.19458644092082977
A (L2),Normal,33.42060556800834,0.903256356716156,0.17185530066490173
D (NLL+SSIM+FFL),Normal,32.36748130830935,0.8817923665046692,0.20561029016971588
H (PP-VAE),Normal,31.502563500820834,0.8640785813331604,0.25901973247528076
